Account,date,total_pnl,num_trades,win_rate,avg_trade_size,total_trade_size,long_trades,short_trades,long_short_ratio,sentiment,activity_group,pnl_volatility,consistency_group,exposure_group,next_day_pnl,next_day_profitable
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,182,0.2692307692307692,3072.9576923076925,559278.3,133,49,2.66,Fear,Low Activity,8608.14950223787,Consistent,Low Exposure,,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,9,0.2222222222222222,1862.9299999999998,16766.37,7,2,2.3333333333333335,Greed,Low Activity,15308.01418469826,Consistent,Low Exposure,21703.816512999998,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,525,0.3238095238095238,8441.060742857142,4431556.89,297,228,1.296943231441048,Fear,Low Activity,15308.01418469826,Consistent,High Exposure,,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,1043,0.2751677852348993,11034.799511025887,11509295.89,489,554,0.8810810810810811,Greed,High Activity,612159.0976384933,Inconsistent,High Exposure,2606.8947559999997,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,3076,0.21879063719115735,7639.724411573472,23499792.29,1513,1563,0.967391304347826,Extreme Greed,High Activity,612159.0976384933,Inconsistent,High Exposure,62586.1816,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,1643,0.20998174071819842,2875.2178940961658,4723983.0,1019,624,1.6304,Neutral,High Activity,612159.0976384933,Inconsistent,High Exposure,1421755.845871,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1268,0.5670347003154574,2166.171861198738,2746705.92,148,1120,0.1320249776984835,Greed,High Activity,612159.0976384933,Inconsistent,High Exposure,553818.000465,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,7380,0.3910569105691057,1818.587241192412,13421173.84,3477,3903,0.890625,Fear,High Activity,612159.0976384933,Inconsistent,High Exposure,,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4838,0.4386109962794543,22504.555828854896,108877041.1,2368,2470,0.9583164710643464,Fear,High Activity,,Inconsistent,High Exposure,,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,21190,0.46753185464841907,3210.7751864086836,68036326.2,11195,9995,1.1199479791916767,Fear,High Activity,,Inconsistent,High Exposure,,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,267,0.15355805243445692,2725.7805992509366,727783.42,49,218,0.2237442922374429,Greed,Low Activity,221869.10489635207,Inconsistent,Low Exposure,325441.97721599997,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,2211,0.3722297602894618,8103.972912709181,17917884.11,1054,1157,0.9101899827288429,Fear,High Activity,221869.10489635207,Inconsistent,High Exposure,,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,9883,0.5692603460487706,2693.2837964180917,26617723.76,3092,6791,0.4552414605418139,Greed,High Activity,394033.1511889349,Inconsistent,High Exposure,126967.976166,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,26651,0.3848636073693295,1554.8373344339798,41437969.8,12568,14083,0.8923601249644987,Fear,High Activity,394033.1511889349,Inconsistent,High Exposure,,0
